id	level	num	clear_item	clear_item_sum	require_level	require_num	require_rank	require_txt	common_txt
1	easy	1	entry_ticket	1					
2	easy	2	entry_ticket	1	easy	1	2	쉬움 난이도 1스테이지 2성 이상	클리어 시 오픈됩니다.
3	easy	3	entry_ticket	1	easy	2	2	쉬움 난이도 2스테이지 2성 이상	클리어 시 오픈됩니다.
4	easy	4	entry_ticket	1	easy	3	2	쉬움 난이도 3스테이지 2성 이상	클리어 시 오픈됩니다.
5	easy	5	entry_ticket	1	easy	4	2	쉬움 난이도 4스테이지 2성 이상	클리어 시 오픈됩니다.
6	easy	6	entry_ticket	1	easy	5	2	쉬움 난이도 5스테이지 2성 이상	클리어 시 오픈됩니다.
7	easy	7	entry_ticket	1	easy	6	2	쉬움 난이도 6스테이지 2성 이상	클리어 시 오픈됩니다.
8	easy	8	entry_ticket	1	easy	7	2	쉬움 난이도 7스테이지 2성 이상	클리어 시 오픈됩니다.
9	easy	9	entry_ticket	1	easy	8	2	쉬움 난이도 8스테이지 2성 이상	클리어 시 오픈됩니다.
10	easy	10	entry_ticket	1	easy	9	2	쉬움 난이도 9스테이지 2성 이상	클리어 시 오픈됩니다.
11	easy	11	entry_ticket	1	easy	10	2	쉬움 난이도 10스테이지 2성 이상	클리어 시 오픈됩니다.
12	easy	12	entry_ticket	1	easy	11	2	쉬움 난이도 11스테이지 2성 이상	클리어 시 오픈됩니다.
13	easy	13	entry_ticket	1	easy	12	2	쉬움 난이도 12스테이지 2성 이상	클리어 시 오픈됩니다.
14	easy	14	entry_ticket	1	easy	13	2	쉬움 난이도 13스테이지 2성 이상	클리어 시 오픈됩니다.
15	easy	15	entry_ticket	1	easy	14	2	쉬움 난이도 14스테이지 2성 이상	클리어 시 오픈됩니다.
16	easy	16	entry_ticket	1	easy	15	2	쉬움 난이도 15스테이지 2성 이상	클리어 시 오픈됩니다.
17	easy	17	entry_ticket	1	easy	16	2	쉬움 난이도 16스테이지 2성 이상	클리어 시 오픈됩니다.
18	easy	18	entry_ticket	1	easy	17	2	쉬움 난이도 17스테이지 2성 이상	클리어 시 오픈됩니다.
19	easy	19	entry_ticket	1	easy	18	2	쉬움 난이도 18스테이지 2성 이상	클리어 시 오픈됩니다.
20	easy	20	entry_ticket	1	easy	19	2	쉬움 난이도 19스테이지 2성 이상	클리어 시 오픈됩니다.
21	easy	21	entry_ticket	1	easy	20	2	쉬움 난이도 20스테이지 2성 이상	클리어 시 오픈됩니다.
22	easy	22	entry_ticket	1	easy	21	2	쉬움 난이도 21스테이지 2성 이상	클리어 시 오픈됩니다.
23	easy	23	entry_ticket	1	easy	22	2	쉬움 난이도 22스테이지 2성 이상	클리어 시 오픈됩니다.
24	easy	24	entry_ticket	1	easy	23	2	쉬움 난이도 23스테이지 2성 이상	클리어 시 오픈됩니다.
25	easy	25	entry_ticket	1	easy	24	2	쉬움 난이도 24스테이지 2성 이상	클리어 시 오픈됩니다.
26	easy	26	entry_ticket	1	easy	25	2	쉬움 난이도 25스테이지 2성 이상	클리어 시 오픈됩니다.
27	easy	27	entry_ticket	1	easy	26	2	쉬움 난이도 26스테이지 2성 이상	클리어 시 오픈됩니다.
28	easy	28	entry_ticket	1	easy	27	2	쉬움 난이도 27스테이지 2성 이상	클리어 시 오픈됩니다.
29	easy	29	entry_ticket	1	easy	28	2	쉬움 난이도 28스테이지 2성 이상	클리어 시 오픈됩니다.
30	easy	30	entry_ticket	1	easy	29	2	쉬움 난이도 29스테이지 2성 이상	클리어 시 오픈됩니다.
31	easy	31	entry_ticket	1	easy	30	2	쉬움 난이도 30스테이지 2성 이상	클리어 시 오픈됩니다.
32	easy	32	entry_ticket	1	easy	31	2	쉬움 난이도 31스테이지 2성 이상	클리어 시 오픈됩니다.
33	easy	33	entry_ticket	1	easy	32	2	쉬움 난이도 32스테이지 2성 이상	클리어 시 오픈됩니다.
34	easy	34	entry_ticket	1	easy	33	2	쉬움 난이도 33스테이지 2성 이상	클리어 시 오픈됩니다.
35	easy	35	entry_ticket	1	easy	34	2	쉬움 난이도 34스테이지 2성 이상	클리어 시 오픈됩니다.
36	easy	36	entry_ticket	1	easy	35	2	쉬움 난이도 35스테이지 2성 이상	클리어 시 오픈됩니다.
37	easy	37	entry_ticket	1	easy	36	2	쉬움 난이도 36스테이지 2성 이상	클리어 시 오픈됩니다.
38	easy	38	entry_ticket	1	easy	37	2	쉬움 난이도 37스테이지 2성 이상	클리어 시 오픈됩니다.
