level,image_original,image_incorrect1,image_location1,image_incorrect2,image_location2,image_incorrect3,image_location3,image_incorrect4,image_location4,image_incorrect5,image_location5,image_incorrect6,image_location6,image_incorrect7,image_location7
1,1펭수_어린이집.webp,1펭수_1곰인형.webp,33x812,1펭수_2딸기.webp,984x249,1펭수_3깃발.webp,1748x610,1펭수_4그림.webp,2095x817,1펭수_5펭수 리본.webp,1805x1106,1펭수_6공.webp,1540x1610,1펭수_7펭수 뒤.webp,539x1372
2,2펭수_편의점.webp,2펭수_1물고기.webp,0x31,2펭수_2구름.webp,1170x243,2펭수_3칫솔.webp,1657x571,2펭수_4펭수 잠옷.webp,36x1051,2펭수_5해바라기.webp,1170x1013,2펭수_6꽃.webp,2272x1397,2펭수_7오리.webp,934x1327
3,3펭수_북극.webp,3펭수_1바나나.webp,469x115,3펭수_2눈.webp,1377x367,3펭수_3딸기쨈.webp,2115x869,3펭수_4펭수 턱받이.webp,209x1050,3펭수_5눈사람.webp,1131x1233,3펭수_6컵.webp,2139x1617,3펭수_7태엽 자동차.webp,735x1813
4,4펭수_캠핑.webp,4펭수_1별.webp,0x20,4펭수_2북극성.webp,2105x175,4펭수_3벌.webp,311x1025,4펭수_4빗.webp,667x1089,4펭수_5펭수 리본.webp,1586x855,4펭수_6펭수 모자.webp,1599x1263,4펭수_7수저.webp,905x1513
5,5펭수_할로윈.webp,5펭수_1열쇠.webp,939x229,5펭수_2창문.webp,2070x238,5펭수_3클로버.webp,1892x471,5펭수_4박쥐.webp,725x610,5펭수_5나무.webp,186x966,5펭수_6호박.webp,789x1322,5펭수_7장미.webp,1413x1695
6,6펭수_놀이터.webp,6펭수_1하트.webp,1597x253,6펭수_2구름.webp,2157x155,6펭수_3펭수_노란색.webp,1260x633,6펭수_4펭수_해바라기.webp,757x1243,6펭수_5모래성.webp,1003x1667,6펭수_6자동차.webp,1397x1495,6펭수_7사과.webp,2187x1569
7,7펭수_tv.webp,7펭수_1양말.webp,149x243,7펭수_2우체통.webp,183x953,7펭수_3사과.webp,1535x535,7펭수_4물고기.webp,1475x973,7펭수_5크레파스.webp,2057x775,7펭수_6리본.webp,1271x1373,7펭수_해바라기.webp,1495x1542
8,8펭수_바닷속.webp,8펭수_1거품.webp,953x155,8펭수_2작은 물고기들.webp,1649x395,8펭수_3케이크.webp,0x953,8펭수_4오리.webp,412x1249,8펭수_5해초.webp,2020x994,8펭수_6조개.webp,1296x1809,8펭수_7미역.webp,2078x1753
9,9펭수_바닷가 드라이브.webp,9펭수_1갈매기.webp,1815x0,9펭수_2구름.webp,83x723,9펭수_3얼굴.webp,577x905,9펭수_4야구공.webp,1017x989,9펭수_5음표.webp,1911x591,9펭수_6삽.webp,655x1797,9펭수_7바닥선.webp,1661x1705
10,10펭수_로봇.webp,10펭수_1안테나.webp,483x91,10펭수_2해바라기.webp,957x293,10펭수_3낙서.webp,1255x361,10펭수_4시계.webp,971x995,10펭수_5펭수_턱받이.webp,141x1243,10펭수_6어깨관절.webp,391x1757,10펭수_7로고.webp,1731x1845
